Comment,Designator,Footprint,LCSC
x 100µF,"C10,C11,C4,C7,C8,C9",tantalum-3528,C16133
x 75kΩ,R3,R-dual-75k,C17819
x 10kΩ,"R1,R2,R6,R7,R8,R9",R-dual-10k,C17902
x 100nF,"C1,C12,C13,C2,C3,C5",C-1206_3216Metric_Pad1.33x1.80mm_HandSolder-long,C24497
x 4.7µF,C6,C-1206_3216Metric_Pad1.33x1.80mm_HandSolder-long,C29823
x SK6803,"L1,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L2,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L3,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L4,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L5,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L6,L60,L61,L62,L63,L64,L65,L7,L8,L9",SK6812-MINI-E-pins,C5149201
x TPS2553DBVR,U3,SOT-23-6-reg,C55266
x 74HC595,"U1,U2",74HC595-sop16,C5947
x 74AHC1G125,U5,74AHC1G125-sot23-v2,C7468
x 1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D7,D8,D9",D_DO-35-SOD-123,C81598
x SK6805,L66,SK6805_PLCC4_2.4x2.7mm_P1.3mm,
